rank,score,cat,dup,source,file,path,w,h,aspect,kb,bright,contrast,sat,sharp,d_render
65,4.88,C,UNIQUE,Events,468489357_10161951732335309_5774086694127596892_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\468489357_10161951732335309_5774086694127596892_n.jpg,960,720,1.333,81,54.4,59.3,6058.3,9.6,
66,4.83,C,UNIQUE,Events,FB_IMG_1492575910588.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\FB_IMG_1492575910588.jpg,960,640,1.5,81,45.0,54.1,4587.7,21.1,
67,4.82,C,UNIQUE,EXTRA,Video Shoot (KL 2 Beirut).jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\Video Shoot (KL 2 Beirut).jpg,600,400,1.5,31,100.2,49.5,3555.4,12.7,
68,4.79,C,SIMILAR,EXTRA,480311245_1321756422262617_3315736719885471063_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\480311245_1321756422262617_3315736719885471063_n.jpg,1440,1440,1.0,243,122.1,68.7,4715.0,10.7,
69,4.75,C,UNIQUE,Events,655591395_10233322056329398_3971996770695560855_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\655591395_10233322056329398_3971996770695560855_n.jpg,960,640,1.5,90,78.6,46.2,3366.4,16.7,
70,4.7,C,UNIQUE,EXTRA,55759886_10214491119207739_8173525533989011456_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\55759886_10214491119207739_8173525533989011456_n.jpg,720,720,1.0,58,86.5,51.8,2925.6,13.2,
71,4.69,C,SIMILAR,EXTRA,597612006_10231898999833875_3676851760203985567_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\597612006_10231898999833875_3676851760203985567_n.jpg,720,629,1.145,77,62.6,50.6,4734.6,19.1,
72,4.63,D,IN FRAGMENTS,Events,Zion Club - Room 808 (Kuala Lumpur).jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\Zion Club - Room 808 (Kuala Lumpur).jpg,960,640,1.5,73,39.4,60.4,5019.8,13.0,
73,4.59,C,UNIQUE,Flyers,FB_IMG_1492602931552.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\FB_IMG_1492602931552.jpg,960,960,1.0,76,70.0,47.5,4836.7,7.5,
74,4.56,C,SIMILAR,EXTRA,508417559_10229878027110820_104135887720268107_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\508417559_10229878027110820_104135887720268107_n.jpg,720,478,1.506,41,30.0,57.5,3899.5,14.9,
75,4.51,C,UNIQUE,Events,468732529_10162045580025309_6046945701324336403_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\468732529_10162045580025309_6046945701324336403_n.jpg,2048,1364,1.501,279,160.6,55.1,4203.8,7.9,
76,4.49,C,SIMILAR,Events,653709268_10233299311960803_3690588883257205153_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\653709268_10233299311960803_3690588883257205153_n.jpg,960,640,1.5,81,70.6,57.3,3986.0,13.6,
77,4.47,C,UNIQUE,EXTRA,644560162_10232917690940516_1815341248806058844_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\644560162_10232917690940516_1815341248806058844_n.jpg,348,369,0.943,18,162.3,42.7,2339.8,14.9,
78,4.26,C,SIMILAR,EXTRA,598671703_10231899000433890_2961925451015256478_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\598671703_10231899000433890_2961925451015256478_n.jpg,720,479,1.503,58,59.3,54.4,2986.5,18.3,
79,4.11,C,SIMILAR,Events,FB_IMG_1492575918174.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\FB_IMG_1492575918174.jpg,960,640,1.5,92,37.9,48.8,4239.8,21.6,
80,4.11,C,UNIQUE,EXTRA,597149525_10231899002993954_6758812525821705846_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\597149525_10231899002993954_6758812525821705846_n.jpg,720,540,1.333,54,95.6,51.6,3180.8,8.8,
81,4.04,C,SIMILAR,EXTRA,645427045_10232927439064213_4575629772778937193_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\645427045_10232927439064213_4575629772778937193_n.jpg,612,612,1.0,46,59.9,56.6,3697.9,10.2,
82,3.6,C,SIMILAR,Events,469001096_10162100365600309_3116842071355519669_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\469001096_10162100365600309_3116842071355519669_n.jpg,1280,720,1.778,65,49.0,60.2,3079.5,4.4,
83,3.6,C,SIMILAR,Events,644587224_10232926622083789_8426647757911025207_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\644587224_10232926622083789_8426647757911025207_n.jpg,960,638,1.505,63,54.5,52.5,2754.3,10.9,
84,3.58,C,UNIQUE,Events,644108685_10232939665089856_4740668352575741569_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\644108685_10232939665089856_4740668352575741569_n.jpg,800,530,1.509,24,15.1,31.0,1143.8,3.4,
85,3.53,C,SIMILAR,Events,646149115_10232917781142771_8531676910925691371_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\646149115_10232917781142771_8531676910925691371_n.jpg,2048,1363,1.503,172,39.9,55.8,3384.6,4.5,
86,3.33,C,UNIQUE,Events,Portfolio - Skillz_Page_3_Image_0009.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\Portfolio - Skillz_Page_3_Image_0009.jpg,1074,624,1.721,93,56.2,47.2,2825.2,8.8,
87,3.11,D,IN FRAGMENTS,Events,Radio Beirut.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\Radio Beirut.jpg,612,612,1.0,28,42.4,42.7,2115.5,6.6,
88,3.08,C,SIMILAR,Flyers,466675595_10227763195961363_2762937108234791943_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\466675595_10227763195961363_2762937108234791943_n.jpg,1080,1080,1.0,97,51.7,39.1,1787.6,10.8,
89,2.59,C,SIMILAR,EXTRA,506185171_10229789182089750_3701468029399108900_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\506185171_10229789182089750_3701468029399108900_n.jpg,604,403,1.499,24,28.5,39.9,2668.5,6.7,
